Time	Relaxation Modulus
43.16	29022.0
43.35	28971.0
43.54	28881.0
43.73	28839.0
43.91	28767.0
44.1	28687.0
44.29	28625.0
44.48	28562.0
44.67	28511.0
44.86	28442.0
45.05	28401.0
45.24	28320.0
45.43	28270.0
45.62	28215.0
45.81	28183.0
46.01	28106.0
46.2	28070.0
46.39	28016.0
46.59	27969.0
46.78	27939.0
46.97	27862.0
47.17	27838.0
47.36	27742.0
47.56	27697.0
47.75	27631.0
47.95	27550.0
48.15	27525.0
48.34	27444.0
48.54	27391.0
48.74	27329.0
48.94	27246.0
49.14	27180.0
49.34	27136.0
49.53	27055.0
49.73	27010.0
49.93	26976.0
50.13	26900.0
50.34	26845.0
50.54	26809.0
50.74	26764.0
50.94	26697.0
51.14	26653.0
51.35	26611.0
51.55	26566.0
51.75	26530.0
51.96	26449.0
52.16	26410.0
52.37	26352.0
52.57	26303.0
52.78	26232.0
52.98	26184.0
53.19	26138.0
53.4	26076.0
53.61	26037.0
53.81	25966.0
54.02	25928.0
54.23	25861.0
54.44	25802.0
54.65	25713.0
54.86	25646.0
55.07	25563.0
55.28	25492.0
55.49	25425.0
55.7	25353.0
55.91	25286.0
56.13	25211.0
56.34	25164.0
56.55	25119.0
56.77	25064.0
56.98	25031.0
57.2	24981.0
57.41	24940.0
57.63	24932.0
57.84	24907.0
58.06	24869.0
58.27	24817.0
58.49	24764.0
58.71	24735.0
58.93	24685.0
59.15	24679.0
59.37	24653.0
59.59	24631.0
59.8	24574.0
60.03	24536.0
60.25	24478.0
60.47	24428.0
60.69	24391.0
60.91	24343.0
61.13	24292.0
61.36	24228.0
61.58	24205.0
61.8	24139.0
62.03	24064.0
62.25	24031.0
62.48	24028.0
62.7	23950.0
62.93	23903.0
63.16	23879.0
63.38	23817.0
63.61	23774.0
63.84	23733.0
64.07	23683.0
64.3	23632.0
64.53	23597.0
64.76	23541.0
64.99	23512.0
65.22	23446.0
65.45	23395.0
65.68	23348.0
65.91	23287.0
66.15	23264.0
66.38	23186.0
66.61	23164.0
66.85	23102.0
67.08	23076.0
67.32	23032.0
67.55	22984.0
67.79	22940.0
68.02	22900.0
68.26	22866.0
68.5	22818.0
68.74	22760.0
68.97	22704.0
69.21	22639.0
69.45	22586.0
69.69	22530.0
69.93	22487.0
70.17	22406.0
70.41	22356.0
70.66	22326.0
70.9	22296.0
71.14	22265.0
71.38	22227.0
71.63	22211.0
71.87	22171.0
72.12	22131.0
72.36	22106.0
72.61	22064.0
72.85	22008.0
73.1	21967.0
73.35	21902.0
73.59	21867.0
73.84	21814.0
74.09	21745.0
74.34	21699.0
74.59	21670.0
74.84	21616.0
75.09	21570.0
75.34	21536.0
75.59	21503.0
75.85	21472.0
76.1	21421.0
76.35	21379.0
76.6	21344.0
76.86	21299.0
77.11	21257.0
77.37	21204.0
77.62	21164.0
77.88	21111.0
78.14	21068.0
78.39	21041.0
78.65	21004.0
78.91	20941.0
79.17	20891.0
79.43	20857.0
79.69	20795.0
79.95	20751.0
80.21	20726.0
80.47	20700.0
80.73	20687.0
80.99	20645.0
81.26	20630.0
81.52	20571.0
81.78	20535.0
82.05	20491.0
82.31	20458.0
82.58	20398.0
82.85	20320.0
83.11	20272.0
83.38	20225.0
83.65	20214.0
83.92	20157.0
84.19	20132.0
84.45	20097.0
84.72	20093.0
85.0	20080.0
85.27	20073.0
85.54	20033.0
85.81	20026.0
86.08	20020.0
86.36	19974.0
86.63	19964.0
86.9	19924.0
87.18	19900.0
87.45	19864.0
87.73	19840.0
88.01	19803.0
88.28	19784.0
88.56	19732.0
88.84	19697.0
89.12	19663.0
89.4	19604.0
89.68	19544.0
89.96	19495.0
90.24	19459.0
90.52	19401.0
90.8	19372.0
91.09	19336.0
91.37	19288.0
91.65	19276.0
91.94	19259.0
92.22	19202.0
92.51	19167.0
92.79	19113.0
93.08	19063.0
93.37	19031.0
93.66	19012.0
93.94	18967.0
94.23	18912.0
94.52	18873.0
94.81	18814.0
95.1	18781.0
95.39	18747.0
95.69	18701.0
95.98	18669.0
96.27	18649.0
96.57	18607.0
96.86	18560.0
97.16	18553.0
97.45	18526.0
97.75	18536.0
98.04	18506.0
98.34	18468.0
98.64	18411.0
98.94	18371.0
99.24	18320.0
99.54	18269.0
99.84	18230.0
100.1	18208.0
100.4	18191.0
100.7	18158.0
101.0	18130.0
