Time	Relaxation Modulus
0.201	29941.0
0.302	23032.0
0.403	19029.0
0.505	16309.0
0.607	14327.0
0.7091	12796.0
0.812	11555.0
0.915	10543.0
1.019	9709.4
1.123	8969.2
1.227	8349.1
1.332	7805.7
1.438	7327.0
1.544	6876.0
1.65	6493.3
1.756	6150.3
1.864	5841.9
1.971	5552.7
2.079	5298.8
2.187	5039.5
2.296	4817.0
2.405	4630.1
2.515	4416.1
2.625	4256.2
2.736	4077.3
2.847	3929.2
2.958	3772.8
3.07	3646.1
3.183	3521.8
3.295	3406.3
3.409	3282.9
3.522	3196.8
3.637	3087.0
3.751	2967.8
3.866	2888.5
3.982	2787.4
4.098	2714.0
4.215	2638.3
4.332	2569.7
4.449	2493.7
4.567	2428.6
4.685	2341.2
4.804	2298.2
4.924	2252.6
5.043	2180.1
5.164	2134.2
5.285	2069.8
5.406	2028.1
5.528	1959.8
5.65	1926.4
5.773	1869.2
5.896	1819.6
6.02	1776.1
6.144	1749.4
6.269	1694.6
6.394	1660.9
6.52	1626.2
6.646	1588.2
6.773	1566.4
6.9	1531.9
7.028	1495.2
7.156	1485.7
7.285	1436.4
7.415	1407.3
7.544	1370.8
7.675	1335.4
7.806	1321.8
7.937	1297.9
8.069	1275.2
8.202	1249.7
8.335	1225.6
8.468	1217.3
8.602	1177.7
8.737	1151.6
8.872	1139.3
9.008	1108.6
9.144	1085.1
9.281	1079.1
9.419	1060.2
9.557	1039.4
9.695	1012.7
9.834	1007.5
9.974	988.37
10.11	968.28
10.26	957.22
10.4	942.59
10.54	934.94
10.68	917.61
10.82	900.05
10.97	883.21
11.11	879.54
11.26	853.83
11.4	852.74
11.55	829.85
11.69	831.23
11.84	834.47
11.99	809.85
12.14	804.72
12.29	792.56
12.44	784.4
12.59	764.9
12.74	760.4
12.89	746.22
13.04	731.74
13.19	716.87
13.35	715.22
13.5	712.74
13.65	692.17
13.81	696.27
13.96	658.29
14.12	671.9
14.28	636.02
14.43	638.7
14.59	613.42
14.75	615.54
14.91	580.87
15.07	588.88
15.23	568.51
15.39	563.59
15.56	545.93
15.72	555.07
15.88	541.36
16.05	535.27
16.21	531.35
16.38	533.36
16.54	525.51
16.71	522.07
16.88	523.01
17.04	512.55
17.21	508.93
17.38	485.34
17.55	492.17
17.72	485.97
17.89	475.72
18.07	460.24
18.24	457.96
18.41	443.81
18.59	431.78
18.76	415.84
18.94	411.8
19.11	408.25
19.29	410.62
19.47	405.15
19.65	403.21
19.83	397.43
20.01	385.11
20.19	372.8
20.37	371.76
20.55	364.14
20.73	340.02
20.92	338.81
21.1	325.2
21.29	336.67
21.47	329.66
21.66	334.23
21.85	327.59
22.03	312.54
22.22	320.26
22.41	315.33
22.6	320.99
22.79	304.82
22.99	308.72
23.18	301.3
23.37	290.16
23.57	281.45
23.76	280.61
23.96	273.31
24.15	275.55
24.35	279.05
24.55	281.55
24.75	264.34
24.95	273.06
25.15	264.27
25.35	264.12
25.55	268.91
25.75	266.06
25.96	255.68
26.16	261.72
26.37	240.37
26.58	246.65
26.78	254.91
26.99	243.22
27.2	255.15
27.41	237.14
27.62	240.22
27.83	237.76
28.04	258.43
