Shear Rate,Stress
0.0015905448933224,13.153682802281615
0.0024853798789634,13.164498207034844
0.0039772082558581,13.282808383448357
0.0061943448947411,13.390445162171366
0.0098448291578632,13.468702292526055
0.0156872610179826,13.58296653618802
0.0249624416649138,13.774815637727968
0.0395766216179048,14.058873402779184
0.0627686399867239,14.34974227791388
0.0984166753540647,14.804277687853045
0.1561121202419717,15.335576857565345
0.2472834844967732,15.907974489830435
0.3962115579227274,16.66859712718068
0.6244410874231208,17.47565442876076
0.9861347861181852,18.480606814225997
1.5632767092625104,19.772318037468317
2.47958741113058,21.24571059761069
3.925223664382375,23.1876562313933
6.226497612751638,25.591228534346435
9.808832385421567,28.62171840681953
15.448508209665436,32.4906884315171
24.545083067029097,37.377225032085626
38.77887459674088,43.54972857434257
61.45611039745847,51.62950042725645
97.8383043772988,62.00953443850974
157.04210316310133,75.19398582838674
249.99985928335929,92.7745197198741
396.8135077966575,115.75163535775206
616.495606761238,149.7728340253986
977.1455426886162,192.38193348443005
