G0,eta_0,eta_inf,t_eq
503.57886638103804,4865139.874813101,98.65159449206206,1453.274169422807
1894.2203847391957,1749135.992846466,13.878450200247517,1445.1601950064487
1398.2812016459734,1687518.1985971208,39.204000576277544,1757.5451750636296
1159.2268580514533,1691304.7864306266,39.85943007902582,1824.3325227162832
1495.0830965002738,1708173.0075606366,54.47303135445486,1512.5245766452085
1338.962689131479,1829026.3009300742,82.39586812392153,2343.019034029796
1191.5362623771507,6587922.9210459255,27.12594203558957,716.9179693457769
1146.5778364410312,2272451.5717096482,84.45738230759271,1279.254378928813
1579.5179824799432,5252065.1427460015,18.33980235093244,1527.2880312440393
1035.3790435271087,2672814.4428164135,89.13815535811835,1308.4552797536767
594.2595393078526,3217983.9809876857,27.864592887284598,2318.504551347024
1673.0072259573296,5232201.3255760055,75.67217077461386,1968.631400650334
1677.0977249635673,5018631.546117737,77.08795499929522,1884.6539929516819
1427.455683495763,4962004.795261709,85.49040456031618,1418.9953377502834
1754.4657553171555,6278247.648091506,91.48212257185112,914.5478857249879
781.4577569881135,1890020.725551051,17.61941430177945,2107.2325607273
1502.2886247624467,1728831.2877500672,88.96369487343502,1533.4648205634037
1070.2524655079635,6360387.268117211,18.79466283312257,1524.5610197670483
1236.6575287341352,1930957.117656965,93.63546932839068,1253.2144945033756
1543.1589845452468,5850129.036727114,29.864303142384745,1799.8810973258906
1107.4332784595108,3454647.5250899973,81.50544098725497,1864.1573348939378
827.2992137167217,5006597.38998777,66.78456447949787,1211.6324731541426
1597.0498718560075,3074285.7504206146,42.770148847789095,1939.9980264788876
758.8479677408013,5157891.266599421,60.183331406964925,1114.6343912506857
1562.995335659942,3052676.7444902402,47.617205785449904,1921.555751244484
1641.8135719755956,5257694.611014441,31.61475249605457,1430.3022810056073
971.069716539386,3908353.778941341,99.06501680986455,1157.4465978358796
1038.3029723070993,3556794.4503821735,99.09753223052216,1601.7166149329187
1345.2386793215483,3703258.5965462476,78.47790340524685,1163.9918038104327
1313.1511655765544,3634153.883932126,29.8362636965512,2112.817231575182
637.0259090258796,4657447.968900237,77.19000145443047,1053.1073601295175
1840.7466066660147,3582740.868614044,22.452519290548143,1244.5169889600202
1202.1376783413548,3359558.6395109533,74.24354608297561,2084.9531366822534
1293.281211926027,6262744.86812942,78.73139861905581,1357.2528495978215
1112.310632485897,5494658.638092718,93.83795438825295,1612.8667729590798
1574.1344128422977,1838151.8188774,59.79716848908301,1191.9711127044295
883.5980398802586,1785530.9462223302,76.9117259330723,1786.126595743872
1689.2697632894178,5992121.602973285,16.32886728076025,1240.0112183271106
701.8098909293662,2656697.8142450145,81.79535133611918,664.5412079300224
1761.5546683871546,5543234.6102441875,32.36697448024453,2106.065124911103
761.2946317326473,5933983.823964739,76.47501864538508,974.1357790145529
1564.6623674987522,2161331.905473679,17.415687126989297,1940.8633658312494
1923.4957508372584,4212076.2102264995,26.9556532591618,760.3033552877673
504.4289843696733,2062932.506139232,56.08046874661508,2249.6935015783397
694.3153563930617,4532005.09689811,51.746782010893085,1540.3269381945315
1839.1087127373191,3533667.974289047,57.09174822418354,1532.9413316372693
771.9642427140403,3627716.2689447827,88.77177613686726,1394.843432019325
1155.8063382323612,2699024.1910228133,21.27726907617014,1674.8822577184571
1459.1810542199912,5617101.440522855,89.37938682635973,1499.0459437018505
683.8397616392328,4643407.9079236565,21.647959074543405,1963.4927285960193
501.6213855549658,2811643.66432315,47.99127239934442,1611.5577410150197
1917.3017296901544,5933981.028564702,12.848119934242913,1468.2267638170738
511.69729234731653,2273490.667942373,96.8650311816482,1366.604110016489
1685.0073044214334,3724096.5715922276,13.617402312876338,1554.8346319110385
1171.9625851966684,4659836.44395395,16.977500656988635,1457.4687895074608
1312.5988087607677,2772313.1258489797,84.30730708408507,643.2348204393415
1277.5202878887103,2989469.6550360755,16.43138167178543,917.4099800973014
