,G0,eta_0,eta_inf,t_eq,a,c,sigma_init,lam_init,r_squared
600,821.974539565241,1390201.6883557888,43.3378602916814,21.588541626575886,1.0008480630226648,1.0000000000049118,346.09048599174736,0.4843569472187875,0.9341356023026921
1200,490.11670845935095,3703198.301789831,0.5135120975426244,334.4136612617635,1.0009931106868548,1.0000000000002982,325.3287842092177,0.8123498485661016,0.9651174557452231
1800,2425.4517565696274,6818084.318462659,98.62573002847856,0.7258185426031715,0.9998958634126194,1.0000000000000033,345.7721456576312,0.9999999999386429,0.6794555175302273
2400,507.10684812420016,3519564.5180052496,0.8865233056959485,186.4773134084886,1.0006103209248942,1.0000000000000087,386.7089527857319,0.7925718941246591,0.9623242354668016
3600,491.6267829624405,4595672.3803586,41.34310745643206,167.89421343388403,1.00099000000009,0.9999999999999918,445.5535199977927,0.6702679263154262,0.9415587346271934
