Data calculated via Fourier domain filtering

Frequency:	6.2831853

Number of harmonics used:	39

Number of cycles in input:	3

Tangent(x)	Tangent(y)	Tangent(z)	Normal(x)	Normal(y)	Normal(z)	Binormal(x)	Binormal(y)	Binormal(z)
[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	[-]	[1/s]	[Pa]	

5.7443344	-2.5462883	319.3144540	0.7411585	-0.6710700	-0.0186844	0.6710890	0.7413512	-0.0061609
5.7233106	-2.5931983	311.9243338	0.7081363	-0.7058238	-0.0188611	0.7058375	0.7083386	-0.0070622
5.7019037	-2.6399347	305.7422805	0.6531785	-0.7569726	-0.0187175	0.7569744	0.6533896	-0.0084754
5.6801152	-2.6864944	300.8997119	0.5596408	-0.8285406	-0.0179618	0.8285204	0.5598578	-0.0106415
5.6579465	-2.7328743	297.4199389	0.3969390	-0.9177058	-0.0159836	0.9176479	0.3971544	-0.0138075
5.6353992	-2.7790713	295.2208315	0.1294026	-0.9915219	-0.0118039	0.9914085	0.1295986	-0.0177048
5.6124746	-2.8250823	294.1253700	-0.2114442	-0.9773754	-0.0053530	0.9772039	-0.2112939	-0.0206764
5.5891744	-2.8709042	293.8788105	-0.4854360	-0.8742720	0.0006916	0.8740654	-0.4853382	-0.0213648
5.5655001	-2.9165339	294.1707528	-0.6185939	-0.7857011	0.0039136	0.7854832	-0.6185269	-0.0209931
5.5414532	-2.9619685	294.6601162	-0.6319662	-0.7749851	0.0040946	0.7747678	-0.6318996	-0.0209224
5.5170355	-3.0072047	295.0009457	-0.5338735	-0.8455633	0.0013648	0.8453576	-0.5337780	-0.0212509
5.4922485	-3.0522397	294.8670491	-0.3095045	-0.9508892	-0.0040780	0.9507156	-0.3093583	-0.0209104
5.4670939	-3.0970704	293.9737168	-0.0028817	-0.9999409	-0.0104810	0.9998230	-0.0026862	-0.0186222
5.4415734	-3.1416939	292.0951363	0.2664596	-0.9637242	-0.0153295	0.9636661	0.2666835	-0.0150842
5.4156886	-3.1861070	289.0765663	0.4440629	-0.8958109	-0.0181926	0.8957998	0.4442988	-0.0118854
5.3894414	-3.2303069	284.8408143	0.5502214	-0.8347822	-0.0198777	0.8348045	0.5504636	-0.0095526
5.3628335	-3.2742905	279.3890363	0.6135639	-0.7893650	-0.0210282	0.7894118	0.6138123	-0.0079591
5.3358666	-3.3180550	272.7963002	0.6521464	-0.7577745	-0.0219728	0.7578408	0.6524032	-0.0068880
5.3085425	-3.3615975	265.2026922	0.6758544	-0.7366804	-0.0228664	0.7367634	0.6761224	-0.0061775
5.2808632	-3.4049149	256.8009885	0.6900571	-0.7233641	-0.0237814	0.7234629	0.6903395	-0.0057241
5.2528303	-3.4480044	247.8220359	0.6977292	-0.7159339	-0.0247500	0.7160482	0.6980295	-0.0054655
5.2244459	-3.4908632	238.5190081	0.7005269	-0.7131602	-0.0257816	0.7132900	0.7008484	-0.0053664
5.1957119	-3.5334883	229.1516271	0.6993210	-0.7143025	-0.0268706	0.7144483	0.6996673	-0.0054104
5.1666300	-3.5758769	219.9712867	0.6944535	-0.7189926	-0.0279992	0.7191544	0.6948278	-0.0055961
5.1372024	-3.6180261	211.2078199	0.6858396	-0.7271692	-0.0291382	0.7273465	0.6862447	-0.0059357
5.1074309	-3.6599332	203.0584321	0.6729665	-0.7390543	-0.0302475	0.7392456	0.6734050	-0.0064564
5.0773175	-3.7015953	195.6791078	0.6548005	-0.7551544	-0.0312752	0.7553567	0.6552742	-0.0072038
5.0468643	-3.7430097	189.1786103	0.6295902	-0.7762617	-0.0321549	0.7764698	0.6301005	-0.0082476
5.0160734	-3.7841735	183.6150454	0.5945548	-0.8033858	-0.0327995	0.8035914	0.5951025	-0.0096882
4.9849466	-3.8250841	178.9948602	0.5455237	-0.8374419	-0.0330886	0.8376331	0.5461089	-0.0116576
4.9534863	-3.8657386	175.2740891	0.4769530	-0.8783146	-0.0328509	0.8784749	0.4775747	-0.0142938
4.9216943	-3.9061344	172.3616432	0.3838237	-0.9228561	-0.0318740	0.9229654	0.3844784	-0.0176416
4.8895730	-3.9462688	170.1244453	0.2685047	-0.9628095	-0.0300508	0.9628501	0.2691848	-0.0214293
4.8571244	-3.9861390	168.3942275	0.1524070	-0.9879273	-0.0277817	0.9878974	0.1531018	-0.0248705
