Angular Frequency	Storage Modulus	Loss Modulus
300	1.54E+05	51895
215	1.44E+05	49697
154	1.35E+05	47960
111	1.25E+05	46511
79.3	1.16E+05	45269
56.9	1.07E+05	44121
40.8	97384	42971
29.3	88336	41752
21	79484	40410
15	70855	38881
10.8	62567	37174
7.74	54641	35249
5.55	47159	33129
3.98	40158	30797
2.85	33736	28326
2.05	27917	25756
1.47	22729	23108
1.05	18187	20439
0.754	14289	17829
0.541	11035	15336
0.388	8320.8	12959
0.278	6176.7	10800
0.199	4480.3	8857.7
0.143	3198.3	7170.5
0.103	2238.1	5734.6
0.0735	1532.6	4513.1
0.0527	1015.1	3475.2
0.0378	665.74	2661.1
0.0271	428.89	2015.9
0.0194	275.1	1519.3
0.0139	169.66	1122.5
0.01	104.82	825.8
