Angular Frequency	Storage Modulus	Loss Modulus
300	2.10E+05	75546
215	1.98E+05	68353
154	1.87E+05	62821
111	1.76E+05	58603
79.3	1.65E+05	55441
56.9	1.55E+05	53019
40.8	1.45E+05	51139
29.3	1.35E+05	49646
21	1.25E+05	48344
15	1.15E+05	47146
10.8	1.05E+05	45931
7.74	95099	44660
5.55	85552	43221
3.98	76247	41573
2.85	67320	39723
2.05	58796	37685
1.47	50751	35416
1.05	43335	32943
0.754	36477	30319
0.541	30196	27596
0.388	24587	24760
0.278	19651	21835
0.199	15377	19021
0.143	11916	16328
0.103	8974.5	13787
0.0735	6647.5	11486
0.0527	4807.3	9382.1
0.0378	3422.8	7574.8
0.0271	2386.3	6011.4
0.0194	1614.7	4694.3
0.0139	1077.4	3635.5
0.01	707.65	2783.3
