Shear Rate;Shear Stress;Viscosity;Speed;Torque
[1/s];[Pa];[Pa·s];[1/min];[µNm]
0,1;1,1;11;0,0167;4,5
0,126;1,42;11,3;0,0211;5,82
0,158;1,81;11,4;0,0265;7,39
0,2;2,28;11,4;0,0334;9,31
0,251;2,87;11,4;0,042;11,7
0,316;3,61;11,4;0,0529;14,8
0,398;4,53;11,4;0,0666;18,5
0,501;5,67;11,3;0,0839;23,2
0,631;7,07;11,2;0,106;28,9
0,794;8,83;11,1;0,133;36,1
1;11;11;0,167;44,9
1,1;12;10,9;0,184;49,2
1,37;14,8;10,8;0,23;60,6
1,71;18,3;10,7;0,286;74,6
2,13;22,3;10,5;0,357;91,3
2,66;27,3;10,3;0,445;112
3,32;33,1;9,99;0,555;135
4,14;40;9,68;0,692;164
5,16;48,4;9,39;0,863;198
6,43;58,1;9,03;1,08;237
8,02;69,5;8,67;1,34;284
10;83,1;8,3;1,67;339
11;89;8,1;1,84;364
13,8;106;7,7;2,31;434
17,3;126;7,29;2,89;514
21,6;149;6,88;3,62;608
27,1;175;6,45;4,54;714
34;205;6,03;5,69;837
42,6;238;5,59;7,12;973
53,3;274;5,14;8,93;1120
66,8;315;4,72;11,2;1290
83,7;362;4,33;14;1480
105;423;4,03;17,6;1730
131;503;3,83;22;2050
165;587;3,56;27,6;2400
206;677;3,28;34,5;2770
258;772;2,99;43,3;3150
324;882;2,73;54,2;3610
406;1000;2,47;67,9;4100
508;1140;2,25;85,1;4660
637;1290;2,03;107;5270
798;1460;1,83;134;5950
1000;1640;1,64;167;6720
