Shear Rate;Shear Stress;Viscosity;Speed;Torque
[1/s];[Pa];[Pa·s];[1/min];[µNm]
0,1;0,0155;0,155;0,0167;0,0634
0,126;0,0184;0,147;0,0211;0,0754
0,158;0,0238;0,15;0,0265;0,0973
0,2;0,0323;0,162;0,0334;0,132
0,251;0,0381;0,152;0,0421;0,156
0,316;0,0472;0,149;0,0529;0,193
0,398;0,0583;0,146;0,0666;0,238
0,501;0,0718;0,143;0,0839;0,293
0,631;0,0876;0,139;0,106;0,358
0,794;0,11;0,139;0,133;0,451
1;0,139;0,139;0,167;0,569
1,1;0,148;0,135;0,184;0,606
1,37;0,182;0,133;0,23;0,745
1,71;0,227;0,132;0,286;0,926
2,13;0,276;0,129;0,357;1,13
2,66;0,344;0,129;0,445;1,4
3,32;0,424;0,128;0,555;1,73
4,14;0,524;0,127;0,692;2,14
5,16;0,643;0,125;0,863;2,63
6,43;0,794;0,123;1,08;3,24
8,02;0,982;0,122;1,34;4,01
10;1,21;0,121;1,67;4,96
11;1,34;0,122;1,84;5,46
13,8;1,64;0,119;2,31;6,7
17,3;2,03;0,118;2,89;8,29
21,6;2,49;0,115;3,62;10,2
27,1;3,07;0,113;4,54;12,5
34;3,78;0,111;5,68;15,5
42,5;4,68;0,11;7,12;19,1
53,3;5,8;0,109;8,92;23,7
66,8;7,2;0,108;11,2;29,4
83,7;8,87;0,106;14;36,2
105;10,7;0,102;17,6;43,9
131;13,5;0,103;22;55,1
165;16,5;0,1;27,6;67,4
206;20,4;0,0987;34,5;83,2
258;24,2;0,0937;43,3;98,9
324;29,7;0,0917;54,2;121
406;35,6;0,0877;67,9;145
508;43,1;0,0848;85,1;176
637;51,2;0,0804;107;209
798;61,5;0,077;134;251
1000;72,8;0,0728;167;298
