Shear Rate;Shear Stress;Viscosity;Speed;Torque
[1/s];[Pa];[Pa·s];[1/min];[µNm]
0,1;2,85;28,6;0,0167;11,7
0,126;3,73;29,7;0,0211;15,3
0,158;4,74;29,9;0,0265;19,4
0,2;5,98;30;0,0334;24,4
0,251;7,5;29,8;0,042;30,6
0,316;9,38;29,7;0,0529;38,3
0,398;11,7;29,4;0,0666;47,9
0,501;14,6;29;0,0839;59,5
0,631;18;28,6;0,106;73,6
0,794;22,4;28,2;0,133;91,5
1;27,7;27,7;0,167;113
1,1;30,3;27,5;0,184;124
1,37;37,1;27;0,23;151
1,71;45;26,3;0,286;184
2,13;54,1;25,4;0,357;221
2,66;65,1;24,5;0,445;266
3,32;77,6;23,4;0,555;317
4,14;92;22,2;0,692;376
5,16;109;21,1;0,863;446
6,43;129;20;1,08;525
8,02;151;18,8;1,34;617
10;177;17,7;1,67;725
11;188;17,1;1,84;769
13,8;220;16;2,31;900
17,3;256;14,8;2,89;1050
21,6;298;13,8;3,62;1220
27,1;345;12,7;4,54;1410
34;398;11,7;5,69;1620
42,6;456;10,7;7,12;1860
53,3;522;9,8;8,93;2130
66,8;588;8,79;11,2;2400
83,7;660;7,89;14;2700
105;735;7;17,6;3000
131;824;6,27;22;3370
165;968;5,88;27,5;3950
206;1100;5,33;34,5;4490
258;1270;4,92;43,2;5190
324;1440;4,45;54,2;5890
406;1630;4,02;67,9;6650
508;1820;3,58;85,1;7440
637;2020;3,17;107;8250
798;2240;2,8;134;9140
1000;2420;2,42;167;9890
