Angular Frequency	Storage Modulus	Loss Modulus
0.3	91.1148	1.9021
0.475468	92.2574	1.95358
0.753566	92.8515	1.66885
1.19432	93.2294	1.45908
1.89287	93.9641	1.6333
3.0	94.4068	1.50901
4.75468	95.024	1.5263
7.53566	95.4758	1.52376
11.9432	95.8522	1.48686
18.9287	96.4877	1.46139
30.0	96.6621	1.38097
