0.000000000000000000e+00,0.000000000000000000e+00,9.999506820574627364e-01,6.538221503613055419e-16,7.250000000000028422e+01,6.689863131103700832e-13,7.250000000000028422e+01,9.227397422211964881e-15,9.227397422211964881e-15,-6.682994979314606009e-13,9.217924109399420233e-15,4.833680201938940478e-15,1.131029135323119590e+03,1.131029135323119590e+03,2.482758620691598139e+00
1.302083333333332177e-03,8.181139603937128205e-03,9.999172176253421362e-01,5.931161941187013120e-01,7.250602298771232768e+01,1.472529908829083967e+00,7.252097430279783907e+01,2.030907017308941631e-02,2.030627864882473751e-02,-1.472473711376524275e+00,2.848943470413957402e-02,9.249864182522424372e+00,1.130650650779030457e+03,1.130688486761247759e+03,2.480286377579829615e+00
2.604166666666664354e-03,1.636173162648678001e-02,9.998168265688274214e-01,1.186094138779978602e+00,7.252408066356814231e+01,2.944074330349594870e+00,7.258381258764492827e+01,4.059443847357207397e-02,4.057216185613148757e-02,-2.944060459647880101e+00,5.695597884356048968e-02,1.848239281551236957e+01,1.129515541642085964e+03,1.129666746281929591e+03,2.472891698894899015e+00
3.906249999999996531e-03,2.454122852291228812e-02,9.996495156073091914e-01,1.778795653143126820e+00,7.255413917910863120e+01,4.413648674224299739e+00,7.268826182156887228e+01,6.083248625317814323e-02,6.075761370180663562e-02,-4.413873815983725635e+00,8.537681786244737114e-02,2.768027090212047625e+01,1.127624841045339281e+03,1.127964529380131580e+03,2.460640247902321054e+00
5.208333333333328707e-03,3.271908282177613675e-02,9.994152959392724744e-01,2.371082693560520038e+00,7.259614216482674465e+01,5.880270143137010130e+00,7.283390305463524328e+01,8.099976070059043687e-02,8.082330936575052305e-02,-5.881028419778022709e+00,1.137292886592347341e-01,3.682622452832077187e+01,1.124980269702185524e+03,1.125582861468764577e+03,2.443639854543521395e+00
6.510416666666660884e-03,4.089474716158344320e-02,9.991141832415467716e-01,2.962817422073302343e+00,7.265001079700367370e+01,7.342958627009849693e+00,7.302015550656359721e+01,1.010730562384540981e-01,1.007309711466398000e-01,-7.344640511957885920e+00,1.419909539120551567e-01,4.590304134799450964e+01,1.121584234145145956e+03,1.122523177260919283e+03,2.422038171266197359e+00
7.812499999999993061e-03,4.906767432741801493e-02,9.987461976682567855e-01,3.553862274786125042e+00,7.271564389117651217e+01,8.800737594469325131e+00,7.324628214943815863e+01,1.210294941160141163e-01,1.204436819335769904e-01,-8.803828467326946239e+00,1.701396747418326139e-01,5.489359100048790197e+01,1.117439824262761476e+03,1.118787319905494996e+03,2.396019524718126181e+00
9.114583333333325238e-03,5.723731728756862452e-02,9.983113638494738318e-01,4.144080030080703025e+00,7.279291802213535334e+01,1.025263498064966683e+01,7.351139665537418466e+01,1.408465996311890900e-01,1.399261700371008665e-01,-1.025771332562342231e+01,1.981536811913234830e-01,6.378084543824917318e+01,1.112550810137221106e+03,1.114377539876771152e+03,2.365801086473293680e+00
1.041666666666665741e-02,6.540312923014306168e-02,9.978097108895669365e-01,4.733333876628127435e+00,7.288168767031778827e+01,1.169768407042510638e+01,7.381447155053831466e+01,1.605023764452311319e-01,1.591450603874200453e-01,-1.170541932097296112e+01,2.260116400253750490e-01,7.254789914224603820e+01,1.106921638186068321e+03,1.109296493618582872e+03,2.331628507437633946e+00
1.171874999999998959e-02,7.356456359966742631e-02,9.972412723652547273e-01,5.321487481159907773e+00,7.298178539444074886e+01,1.313492437616727671e+01,7.415434739600800640e+01,1.799753774887481172e-01,1.780690883503847632e-01,-1.314607440941716199e+01,2.536927193904209288e-01,8.117798920298560006e+01,1.100557426612056815e+03,1.103547241943902009e+03,2.293771173533482255e+00
