Time	Relaxation Modulus
20.5374	12481.0
20.8	12400.0
21.2	12400.0
21.717	12341.0
22.2413	12284.0
22.8	12200.0
23.3	12200.0
23.8	12100.0
24.3	12100.0
24.9	12000.0
25.4	12000.0
25.9	11900.0
26.4	11900.0
27.0	11800.0
27.5	11800.0
28.0	11700.0
28.5	11700.0
29.1	11600.0
29.6	11600.0
30.1	11500.0
30.6	11500.0
31.2	11400.0
31.7	11400.0
32.2	11400.0
32.7	11300.0
33.3	11300.0
33.8	11200.0
34.3	11200.0
34.8	11200.0
35.3	11100.0
35.9	11100.0
36.4	11100.0
36.9	11000.0
37.4	11000.0
38.0	10900.0
38.5	10900.0
39.0	10900.0
39.5	10900.0
40.1	10800.0
40.6	10800.0
41.1	10800.0
41.6	10700.0
42.4	10700.0
43.5	10600.0
44.5	10500.0
45.6	10500.0
46.6	10400.0
47.7	10400.0
48.7	10300.0
49.8	10300.0
50.8	10200.0
51.9	10200.0
52.9	10100.0
54.0	10100.0
55.0	10000.0
56.1	9960.0
57.1	9910.0
58.2	9870.0
59.2	9820.0
60.3	9770.0
61.3	9730.0
62.3	9690.0
63.4	9640.0
64.4	9600.0
65.5	9560.0
66.5	9520.0
67.6	9480.0
68.6	9440.0
69.7	9400.0
70.7	9360.0
71.8	9320.0
72.8	9290.0
73.9	9250.0
74.9	9210.0
76.0	9180.0
77.0	9140.0
78.1	9100.0
79.1	9070.0
80.2	9040.0
81.2	9010.0
82.3	8970.0
83.3	8940.0
84.9	8890.0
87.0	8830.0
89.1	8760.0
91.2	8700.0
93.3	8640.0
95.4	8590.0
97.5	8530.0
99.6	8470.0
102.0	8420.0
104.0	8370.0
106.0	8320.0
108.0	8270.0
110.0	8220.0
112.0	8170.0
114.0	8120.0
116.0	8070.0
118.0	8030.0
121.0	7980.0
123.0	7940.0
125.0	7890.0
127.0	7850.0
129.0	7800.0
131.0	7760.0
133.0	7720.0
135.0	7680.0
137.0	7640.0
139.0	7600.0
142.0	7560.0
144.0	7520.0
146.0	7490.0
148.0	7450.0
150.0	7410.0
152.0	7380.0
154.0	7340.0
156.0	7310.0
158.0	7270.0
160.391	7237.0
162.0	7200.0
165.0	7170.0
167.0	7140.0
170.0	7090.0
174.0	7030.0
178.0	6970.0
182.0	6910.0
187.0	6850.0
191.0	6800.0
195.0	6740.0
199.0	6680.0
203.0	6630.0
208.0	6580.0
212.0	6530.0
216.0	6480.0
220.0	6430.0
224.0	6390.0
229.0	6340.0
233.0	6300.0
237.0	6250.0
241.0	6200.0
245.0	6160.0
250.0	6120.0
254.0	6080.0
258.0	6040.0
262.0	6000.0
266.0	5960.0
270.0	5920.0
275.0	5880.0
279.0	5850.0
283.0	5810.0
287.0	5770.0
291.0	5740.0
296.0	5710.0
300.0	5670.0
304.0	5640.0
308.0	5600.0
312.0	5570.0
317.0	5540.0
321.0	5510.0
325.0	5480.0
329.0	5450.0
333.0	5420.0
340.0	5370.0
348.0	5320.0
356.0	5260.0
365.0	5210.0
373.0	5150.0
382.0	5100.0
390.0	5050.0
398.0	5000.0
407.0	4960.0
415.0	4910.0
424.0	4870.0
432.0	4820.0
440.0	4780.0
449.0	4740.0
457.0	4700.0
466.0	4660.0
474.0	4620.0
482.0	4580.0
491.0	4540.0
499.0	4500.0
507.0	4470.0
516.0	4430.0
524.0	4400.0
533.0	4360.0
541.0	4330.0
549.0	4300.0
558.0	4270.0
566.0	4240.0
575.0	4210.0
583.0	4180.0
591.0	4150.0
600.0	4120.0
608.0	4090.0
617.0	4060.0
625.0	4040.0
633.0	4010.0
642.0	3990.0
650.0	3960.0
658.0	3930.0
667.0	3910.0
679.0	3870.0
696.0	3820.0
713.0	3770.0
730.0	3730.0
747.0	3680.0
763.0	3640.0
780.0	3600.0
797.0	3560.0
814.0	3520.0
830.0	3490.0
847.0	3450.0
864.0	3420.0
881.0	3380.0
898.0	3340.0
914.0	3310.0
931.0	3280.0
948.0	3240.0
965.0	3210.0
981.0	3190.0
