Time	Creep Compliance
0.2012	3.32e-06
0.3013	3.63e-06
0.4014	3.89e-06
0.5015	4.1e-06
0.6011	4.27e-06
0.7012	4.41e-06
0.8013	4.58e-06
0.9014	4.67e-06
1.002	4.82e-06
1.101	4.89e-06
1.201	4.93e-06
1.301	5.02e-06
1.402	5.07e-06
1.502	5.15e-06
1.602	5.17e-06
1.702	5.27e-06
1.802	5.27e-06
1.903	5.32e-06
2.003	5.39e-06
2.103	5.47e-06
2.203	5.53e-06
2.304	5.6e-06
2.404	5.64e-06
2.504	5.66e-06
2.605	5.73e-06
2.705	5.77e-06
2.805	5.8e-06
2.906	5.81e-06
3.006	5.86e-06
3.106	5.85e-06
3.207	5.89e-06
3.307	5.94e-06
3.408	5.94e-06
3.508	5.99e-06
3.608	6.02e-06
3.709	6.07e-06
3.809	6.06e-06
3.91	6.12e-06
4.01	6.13e-06
4.111	6.16e-06
4.212	6.2e-06
4.312	6.22e-06
4.412	6.25e-06
4.513	6.28e-06
4.614	6.32e-06
4.714	6.31e-06
4.815	6.35e-06
4.915	6.4e-06
5.016	6.45e-06
5.117	6.48e-06
5.217	6.52e-06
5.318	6.56e-06
5.419	6.6e-06
5.519	6.62e-06
5.62	6.68e-06
5.721	6.7e-06
5.821	6.75e-06
5.922	6.79e-06
6.024	6.79e-06
6.124	6.84e-06
6.224	6.86e-06
6.325	6.88e-06
6.426	6.88e-06
6.527	6.92e-06
6.628	6.95e-06
6.728	6.95e-06
6.829	6.97e-06
6.93	7.03e-06
7.031	7.05e-06
7.132	7.06e-06
7.233	7.14e-06
7.334	7.18e-06
7.435	7.21e-06
7.535	7.24e-06
7.636	7.3e-06
7.737	7.29e-06
7.838	7.34e-06
7.94	7.35e-06
8.04	7.35e-06
8.141	7.38e-06
8.242	7.41e-06
8.343	7.44e-06
8.444	7.46e-06
8.545	7.49e-06
8.648	7.53e-06
8.748	7.53e-06
8.849	7.55e-06
8.95	7.57e-06
9.051	7.58e-06
9.152	7.57e-06
9.253	7.58e-06
9.354	7.61e-06
9.456	7.6e-06
9.557	7.59e-06
9.658	7.61e-06
9.759	7.65e-06
9.86	7.63e-06
9.962	7.67e-06
10.06	7.66e-06
10.16	7.68e-06
10.27	7.66e-06
10.37	7.68e-06
10.47	7.67e-06
10.57	7.71e-06
10.67	7.7e-06
10.77	7.73e-06
10.87	7.72e-06
10.98	7.73e-06
11.08	7.76e-06
11.18	7.78e-06
11.28	7.79e-06
11.38	7.78e-06
11.48	7.82e-06
11.58	7.83e-06
11.69	7.82e-06
11.79	7.83e-06
11.89	7.86e-06
11.99	7.86e-06
12.09	7.87e-06
12.19	7.89e-06
12.29	7.92e-06
12.4	7.92e-06
12.5	7.93e-06
12.6	7.96e-06
12.7	7.99e-06
12.8	8e-06
12.9	8.03e-06
13.01	8.04e-06
13.11	8.04e-06
13.21	8.06e-06
13.31	8.11e-06
13.41	8.13e-06
13.51	8.13e-06
13.62	8.16e-06
13.72	8.18e-06
13.82	8.2e-06
13.92	8.18e-06
14.02	8.22e-06
14.12	8.24e-06
14.23	8.29e-06
14.33	8.26e-06
14.43	8.3e-06
14.53	8.31e-06
14.63	8.33e-06
14.73	8.31e-06
14.84	8.34e-06
14.94	8.33e-06
15.04	8.33e-06
15.14	8.31e-06
