f,E_stor,E_loss,T,Set
Hz,MPa,MPa,°C,-
0.0004409818801208571,104.17521157353725,820.7201842914246,1,1
0.0006129648133679909,168.61635561501942,1115.595067652124,1,1
0.0008555048474344625,273.4077533283735,1509.9541971348524,1,1
0.0011950608951275224,426.251731461309,2003.499418155828,1,1
0.0016669115068568383,661.6447753574389,2644.7305430103042,1,1
0.0016993362843539517,706.6535863597447,2779.3809466757257,1,1
0.0023239745082369164,1008.8557266580583,3453.822698534219,1,1
0.0023620774352519913,1075.8829561845384,3630.3809979663,1,1
0.0032412168188882978,1523.1723836825342,4485.33817355973,1,1
0.003296712391646665,1612.426405560771,4687.690144066343,1,1
0.004542113365244828,2224.332579877254,5699.324253860017,1,1
0.0046052013305992075,2382.939946485209,6002.935588275233,1,1
0.0063060408857282535,3178.62601770315,7126.391476703388,1,1
0.006423491154857931,3417.980492322665,7564.134227312641,1,1
0.008775539414405054,4452.739939066204,8803.212855895079,1,1
0.008955502218545323,4800.531033289337,9368.889440522513,1,1
0.010000000000000004,5293.200000000003,9828.899999999992,1,1
0.012259296267359823,6138.704725493874,10733.56501616298,1,1
0.012490121690001526,6638.139921326077,11469.827023144255,1,1
0.013899999999999997,7227.799999999997,11940.000000000005,1,1
0.017110096948689257,8269.615535786,12879.28417078296,1,1
0.017503163728845684,8961.863365767722,13767.587077145186,1,1
0.0194,9670.300000000005,14283.0,1,1
0.023857119714538355,10967.119440125773,15241.662322951413,1,1
0.024300508866261485,11899.221557355644,16305.009196752493,1,1
0.027100000000000003,12745.999999999989,16811.00000000001,1,1
0.03325003376111261,14201.102825551168,17719.326914182388,1,1
0.03381679205864361,15355.348261787314,18994.21729124383,1,1
0.03779999999999999,16407.999999999996,19456.000000000015,1,1
0.04630309741268999,18075.124717495924,20313.27179308842,1,1
0.04724154870503982,19623.330213460522,21804.255010478366,1,1
0.052700000000000004,20658.999999999996,22221.99999999999,1,1
0.06482433637776598,22589.185115960005,22965.853740138344,1,1
