Angular Frequency	Storage Modulus	Loss Modulus
300	2.93E+05	1.60E+05
215	2.71E+05	1.35E+05
154	2.52E+05	1.15E+05
111	2.36E+05	98559
79.3	2.21E+05	85896
56.9	2.08E+05	76003
40.8	1.96E+05	68353
29.3	1.85E+05	62496
21	1.75E+05	58069
15	1.64E+05	54740
10.8	1.54E+05	52214
7.74	1.44E+05	50222
5.55	1.35E+05	48697
3.98	1.25E+05	47344
2.85	1.15E+05	46179
2.05	1.05E+05	45141
1.47	95850	43865
1.05	86569	42566
0.754	77492	41148
0.541	68763	39400
0.388	60121	37746
0.278	52112	35382
0.199	44530	33081
0.143	37575	30353
0.103	31344	27788
0.0735	25703	25069
0.0527	20659	22222
0.0378	16408	19456
0.0271	12746	16811
0.0194	9670.3	14283
0.0139	7227.8	11940
0.01	5293.2	9828.9
