"time_wave","strain","rate","stress","Gp_t","Gpp_t","G_star_t","tan_delta_t","delta_t","disp_stress","eq_strain_est","Gp_t_dot","Gpp_t_dot","G_speed","delta_t_dot"
0,0,9.11061869540644,0,50,-1.13564497554676e-15,50,-2.27128995109352e-17,-2.27128995109352e-17,9.85262888191812e-16,-1.97052577638362e-17,-5.91112465407154e-26,6.69315807860776e-14,6.69315807860776e-14,0.24174478498016
0.00390625,0.0355759130628624,9.10106526421022,1.77879565314312,50,-1.71934254253537e-15,50,-3.43868508507074e-17,-3.43868508507074e-17,1.11022302462516e-15,0.0355759130628624,8.98479120540277e-15,1.67550848459458e-14,1.90120840835382e-14,0.239646156457063
0.0078125,0.0710772454957223,9.07244762643029,3.55386227478611,50,-4.17323987629644e-15,50,-8.34647975259288e-17,-8.34647975259288e-17,3.99680288865056e-15,0.0710772454957222,-5.41728160789889e-14,-5.04655258078017e-14,7.40369049662792e-14,0.233401584029324
0.01171875,0.106429749623198,9.02489352382905,5.3214874811599,50,1.61465087806239e-16,50,3.22930175612477e-18,3.22930175612477e-18,8.88178419700125e-16,0.106429749623198,-4.77890914716881e-13,-2.9634033763408e-13,5.6231425562404e-13,0.223162000782331
0.015625,0.14155984191773,8.95861510834663,7.0779920958865,50,2.9306581629098e-15,50,5.8613163258196e-17,5.8613163258196e-17,-2.66453525910038e-15,0.14155984191773,-2.57802713028537e-13,-1.19641997787578e-13,2.84211974553285e-13,0.20916926729071
0.01953125,0.176394930679464,8.87390781986768,8.81974653397322,50,-3.94963786889121e-15,50,-7.89927573778241e-17,-7.89927573778241e-17,3.5527136788005e-15,0.176394930679464,9.34361780631936e-14,3.45942761215266e-14,9.96347495175716e-14,0.191742716786286
0.0234375,0.210863738469904,8.77114882359478,10.5431869234952,50,4.83550540410297e-15,50,9.67101080820593e-17,9.67101080820593e-17,-3.5527136788005e-15,0.210863738469904,7.70579981572374e-13,2.3694904416549e-13,8.06187544887057e-13,0.171262304806036
0.02734375,0.244896617594769,8.65079501547342,12.2448308797384,50,1.69352829489688e-15,50,3.38705658979376e-17,3.38705658979376e-17,-7.105427357601e-15,0.244896617594769,1.56464594101791e-12,4.10730872192042e-13,1.6176578037754e-12,0.148149957856613
0.03125,0.278425856969069,8.51338060644792,13.9212928484534,50,8.79365520340935e-15,50,1.75873104068187e-16,1.75873104068187e-16,-1.4210854715202e-14,0.278425856969069,-1.99217207207461e-13,-4.55452152710415e-14,2.0435719287959e-13,0.122850714523759
0.03515625,0.311385978743964,8.35951429860281,15.5692989371982,50,-1.0559034706576e-15,50,-2.11180694131519e-17,-2.11180694131519e-17,3.5527136788005e-15,0.311385978743964,1.95913724024185e-12,3.9600785938073e-13,1.99875985320743e-12,0.095815054246981
0.0390625,0.343714023130317,8.18987606844991,17.1857011565158,50,2.88100166350985e-15,50,5.7620033270197e-17,5.7620033270197e-17,-1.4210854715202e-14,0.343714023130317,6.60666308492928e-13,1.19464867496048e-13,6.71380537209354e-13,0.0674834762941705
0.04296875,0.375349819917618,8.00521357474301,18.7674909958809,50,-2.58577177219228e-15,50,-5.17154354438456e-17,-5.17154354438456e-17,0,0.375349819917618,2.6487571740422e-12,4.32489904767308e-13,2.68383346815067e-12,0.0382739985422581
0.046875,0.406236245258873,7.80633821023135,20.3118122629436,50,-1.51946735648165e-15,50,-3.03893471296329e-17,-3.03893471296329e-17,7.105427357601e-15,0.406236245258873,-1.91056524839912e-12,-2.83829145149959e-13,1.93153269504478e-12,0.00857286055994619
0.05078125,0.436319462371629,7.59412081868452,21.8159731185815,50.0000000000001,8.22440349791116e-15,50.0000000000001,1.64488069958223e-16,1.64488069958223e-16,-3.19744231092045e-14,0.43631946237163,1.15611486978767e-12,1.57236457601964e-13,1.16675828505452e-12,-0.0212716117841796
0.0546875,0.465549144892261,7.36948710033108,23.277457244613,50,7.28687206192075e-15,50,1.45737441238415e-16,1.45737441238415e-16,-1.77635683940025e-14,0.465549144892261,3.47403730131549e-13,4.34787563854837e-14,3.50113915699079e-13,-0.0509522649407754
0.05859375,0.493878681714315,7.13341273053338,24.6939340857158,50.0000000000001,1.46847563989319e-14,50.0000000000001,2.93695127978637e-16,2.93695127978637e-16,-5.6843418860808e-14,0.493878681714316,-4.88589301089756e-13,-5.65117543483233e-14,4.91846605679963e-13,-0.0802039343004459
0.0625,0.521265362241783,6.88691821806918,26.0632681120891,50,-1.30802125226785e-15,50,-2.6160425045357e-17,-2.6160425045357e-17,7.105427357601e-15,0.521265362241783,-6.86588458039475e-13,-7.36547770215e-14,6.90527868294329e-13,-0.108802320386251
0.06640625,0.547670541093945,6.63106353079762,27.3835270546973,50,8.17796916754998e-15,50,1.63559383350999e-16,1.63559383350999e-16,-2.48689957516035e-14,0.547670541093946,-4.44490236116903e-12,-4.43587285902403e-13,4.46698183123015e-12,-0.136561427213457
0.0703125,0.573059781409464,6.36694251773676,28.6529890704732,50,4.74742765644311e-16,50,9.49485531288622e-18,9.49485531288622e-18,7.105427357601e-15,0.573059781409464,-4.85836981452633e-13,-4.5217427683221e-14,4.87936664243725e-13,-0.163330021018132
0.07421875,0.597402976012948,6.09567715768264,29.8701488006474,50.0000000000004,3.48233716589177e-14,50.0000000000004,6.96467433178349e-16,6.96467433178349e-16,-2.27373675443232e-13,0.597402976012952,-7.41800660006757e-13,-6.45206200190699e-14,7.44601322584177e-13,-0.188987496762791
0.078125,0.620674445826827,5.81841166542919,31.0337222913414,50,-3.13683914692684e-15,50,-6.27367829385369e-17,-6.27367829385369e-17,1.4210854715202e-14,0.620674445826827,2.39648370308348e-12,1.9512488477075e-13,2.40441424463454e-12,-0.213439458021096
0.08203125,0.642853015034215,5.53630648741611,32.1426507517107,50,3.85733701397683e-15,50,7.71467402795365e-17,7.71467402795365e-17,-1.4210854715202e-14,0.642853015034215,-2.05821050498021e-12,-1.57085094378494e-13,2.06419626239532e-12,-0.23661323393841
0.0859375,0.663922062623998,5.2505322192253,33.1961031311999,50,4.66054525491091e-15,50,9.32109050982181e-17,9.32109050982181e-17,-2.1316282072803e-14,0.663922062623998,-3.83836321652299e-12,-2.7487761004121e-13,3.84819306720163e-12,-0.258453481620983
0.08984375,0.683869550076904,4.96226347776159,34.1934775038452,49.9999999999996,-2.65650847759823e-14,49.9999999999996,-5.31301695519649e-16,-5.31301695519649e-16,2.8421709430404e-13,0.683869550076898,-5.23349046885938e-12,-3.51919042649837e-13,5.24530928546846e-12,-0.278917956663561
0.09375,0.702688025080087,4.67267276119731,35.1344012540043,49.9999999999999,-7.22940006951906e-15,49.9999999999999,-1.44588001390381e-16,-1.44588001390381e-16,5.6843418860808e-14,0.702688025080086,-2.48433912039784e-12,-1.56929095194501e-13,2.48929058288856e-12,-0.297973479081736
0.09765625,0.720374601287161,4.38292432981657,36.0187300643581,49.9999999999998,-1.47299186733318e-14,49.9999999999998,-2.94598373466637e-16,-2.94598373466637e-16,1.70530256582424e-13,0.720374601287158,6.28866703142491e-12,3.73207456933886e-13,6.29973148936061e-12,-0.315592075349413
