Time	Relaxation Modulus
0.244061744878837	362.611195102622
0.656324594982469	367.368503295785
1.19322925558431	406.015480120137
1.90763165421411	407.353322076193
2.75265099912625	385.648093620365
3.92494992247926	380.725709394836
5.3198992329064	376.469855909226
7.68368996613193	375.277411011359
9.64960962157373	366.914859322037
12.7535126329959	365.748134060417
16.6439373848835	365.172646271526
21.4442902780669	361.670619008808
27.9800374398777	357.049844398793
36.054138253541	355.913224454901
47.041258024952	350.800070725244
60.6050647337687	346.317565548695
79.0761530602596	341.89294455439
99.3229191218924	336.979415550687
129.58289274624	331.069197991457
169.056961962327	324.738745953139
215.039386216906	319.042082364129
276.986345911867	311.431342624508
459.570205901276	297.228933561366
343.472246136762	304.490974018809
584.432512654117	288.273268921066
752.702733205826	279.587939535636
981.762487069651	270.728011624461
1248.31706078209	260.463052182967
1587.19604362452	250.183685418237
2043.94155197785	241.086426773398
