Angular Frequency,Storage Modulus,Loss Modulus
0.1,12.13395652,14.10515652
0.2,19.44331304,19.53188696
0.3,23.56343478,24.15475652
0.4,27.69350435,27.92833043
0.6,34.44071304,33.45023478
0.8,40.39075652,37.82086957
1.0,44.72370435,40.94190435
2.0,63.22302609,54.96135652
2.5,70.58604348,60.39717391
3.0,78.16093043,66.07738261
4.0,89.56362609,72.36689565
5.0,98.82591304,79.64
6.0,108.6589565,84.10093043
7.0,116.3331304,89.52833043
8.0,124.4903478,92.66868696
10.0,138.2116522,101.0833043
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
