Shear Rate;Shear Stress;Viscosity;Speed;Torque
[1/s];[Pa];[Pa·s];[1/min];[µNm]
0,1;0,419;4,19;0,0167;1,71
0,126;0,539;4,28;0,0211;2,2
0,158;0,684;4,31;0,0265;2,79
0,2;0,86;4,31;0,0334;3,52
0,251;1,08;4,3;0,0421;4,41
0,316;1,36;4,29;0,0529;5,54
0,398;1,7;4,27;0,0666;6,95
0,501;2,12;4,24;0,0839;8,68
0,631;2,65;4,2;0,106;10,8
0,794;3,32;4,17;0,133;13,5
1;4,14;4,14;0,167;16,9
1,1;4,52;4,11;0,184;18,5
1,37;5,59;4,08;0,23;22,9
1,71;6,88;4,02;0,286;28,1
2,13;8,44;3,96;0,357;34,5
2,66;10,4;3,9;0,445;42,4
3,32;12,7;3,82;0,555;51,7
4,14;15,4;3,73;0,692;63
5,16;18,8;3,64;0,863;76,7
6,43;22,8;3,55;1,08;93,3
8,02;27,7;3,46;1,34;113
10;33,6;3,36;1,67;137
11;36,3;3,3;1,84;148
13,8;43,9;3,19;2,31;179
17,3;53;3,07;2,89;217
21,6;63,8;2,95;3,62;261
27,1;76,3;2,81;4,54;312
34;91,2;2,69;5,68;373
42,6;108;2,55;7,12;443
53,3;128;2,41;8,92;524
66,8;151;2,26;11,2;617
83,7;176;2,1;14;718
105;204;1,95;17,6;835
131;241;1,84;22;986
165;282;1,71;27,6;1150
206;328;1,59;34,5;1340
258;380;1,47;43,3;1550
324;438;1,35;54,2;1790
406;506;1,25;67,9;2070
508;582;1,14;85,1;2380
637;666;1,05;107;2720
798;762;0,955;134;3110
1000;869;0,869;167;3550
