Shear Rate;Shear Stress;Viscosity;Speed;Torque
[1/s];[Pa];[Pa·s];[1/min];[µNm]
0,1;0,157;1,57;0,0167;0,642
0,126;0,202;1,6;0,0211;0,825
0,158;0,261;1,65;0,0265;1,07
0,2;0,331;1,66;0,0334;1,35
0,251;0,419;1,67;0,0421;1,71
0,316;0,531;1,68;0,0529;2,17
0,398;0,669;1,68;0,0666;2,73
0,501;0,842;1,68;0,0839;3,44
0,631;1,06;1,67;0,106;4,32
0,794;1,33;1,68;0,133;5,44
1;1,67;1,67;0,167;6,83
1,1;1,83;1,67;0,184;7,48
1,37;2,28;1,66;0,23;9,3
1,71;2,82;1,65;0,286;11,5
2,13;3,47;1,63;0,357;14,2
2,66;4,29;1,61;0,445;17,5
3,32;5,27;1,59;0,555;21,5
4,14;6,47;1,56;0,692;26,4
5,16;7,95;1,54;0,863;32,5
6,43;9,73;1,51;1,08;39,8
8,02;11,9;1,48;1,34;48,6
10;14,6;1,46;1,67;59,5
11;15,7;1,42;1,84;64
13,8;19,4;1,41;2,31;79,2
17,3;23,8;1,38;2,89;97
21,6;29;1,34;3,62;118
27,1;35,2;1,3;4,54;144
34;42,7;1,26;5,68;175
42,5;51,5;1,21;7,12;211
53,3;62;1,16;8,92;253
66,8;74,2;1,11;11,2;303
83,7;88,9;1,06;14;363
105;106;1,01;17,6;432
131;126;0,959;22;515
165;149;0,904;27,6;608
206;176;0,853;34,5;719
258;206;0,798;43,3;842
324;240;0,742;54,2;982
406;280;0,691;67,9;1150
508;326;0,641;85,1;1330
637;377;0,593;107;1540
798;437;0,547;134;1780
1000;503;0,503;167;2050
