Shear Rate;Shear Stress;Viscosity;Speed;Torque
[1/s];[Pa];[Pa·s];[1/min];[µNm]
0,1;0,645;6,45;0,0167;2,64
0,126;0,83;6,59;0,0211;3,39
0,158;1,05;6,63;0,0265;4,29
0,2;1,32;6,62;0,0334;5,39
0,251;1,65;6,58;0,042;6,75
0,316;2,08;6,57;0,0529;8,48
0,398;2,59;6,51;0,0666;10,6
0,501;3,23;6,44;0,0839;13,2
0,631;4,02;6,37;0,106;16,4
0,794;5,03;6,33;0,133;20,5
1;6,27;6,27;0,167;25,6
1,1;6,83;6,21;0,184;27,9
1,37;8,43;6,15;0,23;34,4
1,71;10,3;6,04;0,286;42,2
2,13;12,6;5,92;0,357;51,6
2,66;15,4;5,8;0,445;63,1
3,32;18,8;5,67;0,555;76,8
4,14;22,8;5,52;0,692;93,3
5,16;27,8;5,39;0,863;114
6,43;33,7;5,24;1,08;138
8,02;40,7;5,08;1,34;166
10;49,2;4,92;1,67;201
11;53;4,82;1,84;217
13,8;63,9;4,64;2,31;261
17,3;76,8;4,45;2,89;314
21,6;92;4,25;3,62;376
27,1;110;4,04;4,54;447
34;130;3,83;5,68;532
42,6;154;3,62;7,12;630
53,3;182;3,42;8,92;744
66,8;214;3,2;11,2;873
83,7;250;2,99;14;1020
105;290;2,77;17,6;1190
131;337;2,56;22;1380
165;390;2,37;27,6;1590
206;452;2,19;34,5;1850
258;520;2,01;43,3;2120
324;597;1,84;54,2;2440
406;684;1,69;67,9;2790
508;782;1,54;85,1;3190
637;890;1,4;107;3640
798;1010;1,27;134;4130
1000;1150;1,15;167;4680
